BUSPARTNUM;CONTACT;CONTPHONO;BUSPATYP
1;SAP AG;06227-34-0;FC
2;Andreas Klotz;05344-676792;FC
3;Hans Bullinger;02099-44591;FC
4;Staerck;07508-66-7886;FC
5;Martin;;FC
6;Starr;;FC
7;King;;FC
8;Moore;;FC
9;Everton FC;332-5678-0;FC
10;Raupp;;FC
11;Ballmann;;FC
12;Radetzky;;FC
13;Mueller;;FC
14;Genee;;FC
15;Soehnen;;FC
16;Leihinger Brauerei;;FC
17;Ruthenberg;;FC
18;Miller;;FC
19;Plum;;FC
20;Becker;;FC
21;SAP Oesterreich;;FC
22;SAP (Schweiz) AG;;FC
23;SAP America Inc.;;FC
24;SAP Thailand;;FC
25;SAP Australia PTY.LTD.;;FC
26;SAP Belgium SA;;FC
27;SAP Canada Inc.;;FC
28;SAP Danmark A/S;;FC
29;SAP France SA;;FC
30;SAP Italy SPA;;FC
31;SAP Nederland B.V.;;FC
32;SAP Espana y Portugal S.A;;FC
33;Rolf Lau;;FC
34;Juergen Stahl;;FC
35;Brucher;;FC
36;Maggie Faratti;914-723-0915;FC
37;Dampf;;FC
38;Rolf-Dietmar Huder;;FC
39;Forks Manufacturing GmbH;;FC
40;Electronic Components Dis;;FC
41;Wald & Maier;06894/55501-0;FC
42;Mueller;;FC
43;Stolz;;FC
44;KBB Schwarze Pumpe;;FC
45;SMP GmbH;;FC
46;AluCast GmbH;;FC
47;Sedona Suppliers;602-444-5678;FC
48;SRV GmbH;;FC
49;Becker AG;030-8853-0;FC
50;Lampen-Markt GmbH;069-467653-0;FC
51;Orangenmarkt KG;0888-86765765;FC
52;Motorbau GmbH;;FC
53;Bikeland international;;FC
54;Becker GmbH;;FC
55;Meyer;+1 901-632-5620;TA
56;Blacks AG;;FC
57;Bike Retail & Co.;;FC
58;Motor constructions Ltd.;;FC
59;Parts & Pipes;;FC
60;Harvey Parts & Co.;;FC
61;Meyer;+49 2102 69555;TA
62;SKF Kugelmeier KGaA;;FC
63;Reihl & Mueller;;FC
64;Woellner AG;;FC
65;Lebensmittelgrosshandel-B;;FC
66;NoeCompany;;FC
67;Max Grosshandel;;FC
68;Lang u. Soehne;;FC
69;Egerger AG;;FC
70;Food & Stuff;0123-765-9869;FC
71;Walldorf Grosshandel;;FC
72;Sommer GmbH;;FC
73;Hamberger u. CO.;;FC
74;Kreutzschmid;;FC
75;Humpert u. Toechter;;FC
76;Meinecke;;FC
77;Phunix;069 / 768890;FC
78;Alpha Dienstleistungen;;FC
79;Hertz Autovermietung;06196 / 937 - 0;FC
80;Eastern Supply Co.;215-751-1400;FC
81;International Container C;;FC
82;Metal Container Inc.;;FC
